customerid,rfmscore,recency,frequency,monetary,segment
HM-14980,321,89390,1,4.62,"lost customers"
RB-19705,531,79202,1,5.68,"lost customers"
DV-13045,321,89696,1,14.62,"lost customers"
AA-10480,411,79893,1,15.55,"lost customers"
GZ-14470,421,89107,1,23.92,"lost customers"
PG-18895,541,79282,2,26.15,"loyal customers"
KB-16600,541,79099,2,28.49,"loyal customers"
MA-17560,531,79289,1,29.47,"lost customers"
DN-13690,131,109296,2,36.29," at risk"
CV-12805,511,79083,1,41.96,"new customers"
KD-16345,411,79691,1,51.31,"lost customers"
AG-10270,111,109795,1,55.50,"lost customers"
ON-18715,231,89997,2,63.44," at risk"
LH-16900,331,89688,2,66.80,"lost customers"
HP-14815,242,99186,2,71.35,"regular customer"
SF-20065,412,79592,1,71.37,"lost customers"
KD-16270,322,89704,1,75.88,"regular customer"
RA-19885,312,89591,1,77.88,"lost customers"
ER-13855,322,89402,1,77.88,"regular customer"
KB-16585,432,89099,2,79.80,"regular customer"
JD-15895,322,89403,1,82.80,"regular customer"
MG-17680,112,109286,1,93.89,"lost customers"
ES-14080,522,79389,1,95.62,"new customers"
PN-18775,532,79199,1,96.53,"regular customer"
KB-16315,152,100177,3,99.26," at risk"
JS-15685,342,89391,3,100.16,"loyal customers"
EH-13945,242,90192,2,102.22,"regular customer"
CL-12565,332,89205,2,103.20,"regular customer"
JM-15250,553,79185,3,105.40,"loyal customers"
LC-16930,423,79398,1,147.17,"regular customer"
GG-14650,113,99903,1,157.79,"lost customers"
GM-14455,223,89903,1,158.37,"regular customer"
DW-13585,453,80106,3,159.73,"loyal customers"
RB-19465,343,89479,3,162.39,"loyal customers"
SH-19975,543,79390,3,163.38,"loyal customers"
RC-19960,153,109483,4,199.26," at risk"
JC-16105,213,99405,1,200.98,"lost customers"
DP-13000,153,99890,4,209.55," at risk"
PS-18970,223,99878,1,213.12,"regular customer"
SC-20770,343,89696,2,224.90,"loyal customers"
CS-12400,533,79195,1,230.38,"regular customer"
ZD-21925,143,109481,3,244.76," at risk"
TS-21610,544,79203,2,246.38,"best customers"
LC-16885,354,89295,7,256.20,"loyal customers"
KM-16720,254,99184,4,266.29,"regular customer"
LS-16975,434,89202,2,319.98,"big spenders"
PA-19060,224,99293,1,339.96,"big spenders"
LC-16870,244,99195,2,341.26,"regular customer"
JE-16165,414,89103,1,384.45,"big spenders"
IM-15070,424,89103,1,407.98,"big spenders"
SC-20725,354,89696,5,487.50,"loyal customers"
PO-18865,444,79780,2,513.92,"best customers"
AD-10180,114,109082,1,600.56,"big spenders"
PF-19165,114,109388,1,617.70,"big spenders"
TB-21055,354,89691,7,655.09,"loyal customers"
PK-19075,114,109197,1,665.88,"big spenders"
HA-14920,225,99401,1,671.93,"big spenders"
DK-13090,115,100006,1,787.53,"big spenders"
SG-20080,535,79086,1,839.43,"big spenders"
SO-20335,245,99297,2,979.95,"regular customer"
CG-12520,435,89200,2,993.90,"big spenders"
JE-15745,255,99882,4,1021.06,"regular customer"
EB-13870,225,99383,1,1044.63,"big spenders"
JM-15265,435,89097,2,1045.21,"big spenders"
SN-20710,255,99081,4,1228.96,"regular customer"
BS-11590,145,109103,2,1280.99," at risk"
GH-14485,435,89100,2,1288.46,"big spenders"
TB-21520,555,79394,7,3341.62,"best customers"
BH-11710,155,109699,7,3714.29," at risk"
